slot,ref_tick,sz,shred_cnt
308015668,21,34143,36
308015668,22,39980,42
308015668,25,34192,36
308015668,29,34853,36
308015668,31,34900,36
308015668,33,34160,36
308015668,36,33669,35
308015668,39,34797,36
308015668,41,34042,35
308015668,43,34374,36
308015668,46,33640,35
308015668,53,33784,35
308015668,63,3375,4
308015668,0,56,32
308015669,3,33833,35
308015669,6,33939,35
308015669,8,33906,35
308015669,11,34092,35
308015669,13,35535,37
308015669,14,46541,48
308015669,16,34123,35
308015669,17,40143,42
308015669,18,40960,43
308015669,19,34386,36
308015669,21,33685,35
308015669,22,34205,36
308015669,24,35454,37
308015669,25,35840,37
308015669,27,38095,40
308015669,29,34111,35
308015669,30,36040,37
308015669,32,33723,35
308015669,33,34101,35
308015669,35,34197,36
308015669,39,34204,36
308015669,49,17556,18
308015669,58,24004,25
308015669,0,296,32
308015670,1,53279,55
308015670,2,51550,53
308015670,3,49935,52
308015670,6,33637,35
308015670,8,34313,36
308015670,10,33916,35
308015670,12,42692,44
308015670,14,34175,36
308015670,15,43169,45
308015670,17,42863,44
308015670,20,34321,36
308015670,22,41000,43
308015670,23,36846,38
308015670,25,42813,44
308015670,28,33634,35
308015670,30,34055,35
308015670,39,14044,15
308015670,49,18741,19
308015670,58,10380,11
308015670,0,296,32
308015671,1,41960,44
308015671,2,42715,44
308015671,3,45927,48
308015671,4,47074,49
308015671,7,34255,36
308015671,10,33727,35
308015671,12,37492,39
308015671,14,38096,40
308015671,16,35039,36
308015671,17,37944,39
308015671,20,34141,36
308015671,21,34420,36
308015671,24,33802,35
308015671,26,34779,36
308015671,30,35193,37
308015671,35,34204,36
308015671,44,19601,20
308015671,54,488,1
308015671,0,11117,32
308015672,1,39796,41
308015672,2,40665,42
308015672,3,40665,42
308015672,4,40665,42
308015672,6,40394,42
308015672,8,41032,43
308015672,10,34798,36
308015672,11,53077,55
308015672,13,41965,44
308015672,14,39289,41
308015672,15,49869,52
308015672,16,50246,52
308015672,17,36894,38
308015672,18,34210,36
308015672,18,50445,52
308015672,20,35141,37
308015672,21,35173,37
308015672,22,34751,36
308015672,24,33707,35
308015672,28,33694,35
308015672,31,33725,35
308015672,33,34863,36
308015672,36,34415,36
308015672,42,33728,35
308015672,44,45384,47
308015672,47,35361,37
308015672,51,34267,36
308015672,60,14626,15
308015672,0,200,32
308015673,3,33865,35
308015673,6,33927,35
308015673,15,33773,35
308015673,20,34279,36
308015673,24,42820,44
308015673,27,49381,51
308015673,28,39437,41
308015673,29,40728,42
308015673,32,41344,43
308015673,33,34604,36
308015673,35,43281,45
308015673,37,36287,38
308015673,39,34774,36
308015673,42,35277,37
